Detection:
Saved model for image9751, nbInliers=414
Saved model for image9752, nbInliers=754
Saved model for image9753, nbInliers=437
Saved model for image9754, nbInliers=551
Saved model for image9755, nbInliers=355
Saved model for image9756, nbInliers=316
Saved model for image9757, nbInliers=320
Saved model for image9758, nbInliers=209
Saved model for image9759, nbInliers=235
Saved model for image9760, nbInliers=932
Saved model for image9761, nbInliers=525
Saved model for image9762, nbInliers=393
Saved model for image9763, nbInliers=428
Saved model for image9764, nbInliers=399
Saved model for image9765, nbInliers=348
Saved model for image9766, nbInliers=207
Saved model for image9767, nbInliers=246
Saved model for image9768, nbInliers=97
Saved model for image9769, nbInliers=218
Saved model for image9770, nbInliers=225
Saved model for image9771, nbInliers=87
Saved model for image9772, nbInliers=95
Saved model for image9773, nbInliers=715
Saved model for image9774, nbInliers=445
Init:
Saved model for image9743, nbInliers=1420
Saved model for image9744, nbInliers=851
Saved model for image9745, nbInliers=693
Saved model for image9746, nbInliers=1384
Saved model for image9747, nbInliers=1899
Saved model for image9748, nbInliers=1248
Saved model for image9749, nbInliers=712
Saved model for image9750, nbInliers=1010
